cntdir,co_name,tolmt,fromlmt,route,mcd,comments,lat,adb,setyear,long,recordnum,indir,report,setdate,type,mun_name,road,outdir
north,Philadelphia,south st,bainbridge st,0,4210160103,,39.940689,103,2010,-75.144119,71773,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71773,11/11/10,Bicycle 1,Central,front st
south,Philadelphia,I 95 delaware expwy nb on ramp,kenilworth st,0,4210160103,,39.940603,52,2011,-75.142386,71777,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71777,3/23/11,Bicycle 1,Central,christopher columbus blvd southbound lanes
east,Philadelphia,18th st,19th st,0,4210160103,,39.963257,118,2011,-75.168618,71542,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71542,1/15/11,Bicycle 1,Central,spring garden st eastbound lanes
west,Philadelphia,18th st,19th st,0,4210160103,,39.963405,254,2010,-75.168564,71543,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71543,10/14/10,Bicycle 1,Central,spring garden st westbound lanes
west,Philadelphia,aquarium dr,31st st,0,4210160106,,39.964326,313,2010,-75.183853,71545,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71545,10/7/10,Bicycle 1,West Park,spring garden st bridge westbound lanes
west,Philadelphia,pa 291 broad st,15th st,0,4210160103,,39.947097,424,2010,-75.165646,71546,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71546,9/30/10,Bicycle 1,Central,spruce st
both,Philadelphia,4th st,5th st,0,4210160112,,39.92245,111,2010,-75.154595,71547,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71547,9/30/10,Bicycle 1,South,snyder ave
east,Philadelphia,pa 611 broad st,15th st,0,4210160103,,39.957821,134,2010,-75.163404,71548,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71548,10/14/10,Bicycle 1,Central,vine st eastbound
west,Philadelphia,pa 611 broad st,15th st,0,4210160103,,39.9582,30,2010,-75.163286,71549,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71549,10/14/10,Bicycle 1,Central,vine st westbound
west,Philadelphia,22nd st,23rd st,0,4210160103,,39.951045,760,2010,-75.177931,71550,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71550,9/23/10,Bicycle 1,Central,walnut st
west,Philadelphia,17th st,18th st,0,4210160103,,39.950017,318,2010,-75.169584,71551,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71551,9/23/10,Bicycle 1,Central,walnut st
north,Philadelphia,south st,bainbridge st,0,4210160103,,39.944539,228,2010,-75.17512,71604,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71604,10/20/10,Bicycle 1,Central,20th st
south,Philadelphia,south st,bainbridge st,0,4210160103,,39.944004,211,2010,-75.170388,71613,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71613,10/28/10,Bicycle 1,Central,17th st
north,Philadelphia,22nd st,21st st,0,4210160103,,39.961111,39,2010,-75.174379,70621,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=70621,8/26/10,Bicycle 1,Central,ben franklin pkwy outer la
south,Philadelphia,22nd st,21st st,0,4210160103,,39.960478,96,2010,-75.17453,70622,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=70622,8/26/10,Bicycle 1,Central,ben franklin pkwy outer la
north,Philadelphia,south st,bainbridge st,0,4210160103,,39.943794,315,2010,-75.168811,71616,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71616,10/28/10,Bicycle 1,Central,16th st
south,Philadelphia,bainbridge st,south st,0,4210160103,,39.943642,184,2010,-75.167255,71619,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71619,11/30/10,Bicycle 1,Central,15th st
south,Philadelphia,south st,bainbridge st,291,4210160103,,39.943465,236,2010,-75.165603,71623,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71623,11/30/10,Bicycle 1,Central,broad st southbound lanes
south,Philadelphia,noble st,callowhill st,0,4210160103,,39.959402,66,2011,-75.15824,71826,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71826,3/30/11,Bicycle 1,Central,12th st
north,Philadelphia,noble st,callowhill st,0,4210160103,,39.959516,87,2011,-75.159842,71829,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71829,3/25/11,Bicycle 1,Central,13th st
south,Philadelphia,hamilton st,callowhill st,611,4210160103,,39.960056,132,2011,-75.161971,71833,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71833,3/30/11,Bicycle 1,Central,broad st southbound lanes
north,Philadelphia,hamilton st,callowhill st,0,4210160103,,39.960297,90,2011,-75.165228,71839,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71839,3/25/11,Bicycle 1,Central,16th st
north,Philadelphia,hamilton st,franklintown blvd,0,4210160103,,39.96121,30,2011,-75.168259,71845,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71845,5/4/11,Bicycle 1,Central,18th st
south,Philadelphia,callowhill st,hamilton st,0,4210160103,,39.961074,156,2011,-75.169916,71848,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71848,4/1/11,Bicycle 1,Central,19th st
north,Philadelphia,hamilton st,callowhill st,0,4210160103,,39.961362,82,2011,-75.171472,71851,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71851,5/4/11,Bicycle 1,Central,20th st
north,Philadelphia,eakins oval,22nd st,0,4210160103,,39.96225014,70,2010,-75.17633327,71857,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71857,11/3/10,Bicycle 1,Central,ben franklin pkwy inner la
south,Philadelphia,eakins oval,22nd st,0,4210160103,Parkway southbound lanes under reconstruction,39.962182,3,2011,-75.176469,71858,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71858,8/9/11,Bicycle 1,Central,ben franklin pkwy inner la
north,Philadelphia,ben franklin pkwy,hamilton st,0,4210160103,,39.962135,81,2011,-75.174921,71865,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71865,4/7/11,Bicycle 1,Central,22nd st
west,Philadelphia,19th st,20th st,0,4210160103,,39.948076,718,2010,-75.173564,70605,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=70605,8/12/10,Bicycle 1,Central,spruce st
west,Philadelphia,9th st,10th st,0,4210160103,,39.946052,587,2010,-75.157235,70606,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=70606,8/12/10,Bicycle 1,Central,spruce st
east,Philadelphia,9th st,10th st,0,4210160103,,39.944226,354,2010,-75.154338,70608,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=70608,8/12/10,Bicycle 1,Central,pine st
south,Philadelphia,pine st,lombard st,0,4210160103,,39.946932,301,2010,-75.1794,70609,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=70609,8/12/10,Bicycle 1,Central,23rd st
north,Philadelphia,south st,bainbridge st,0,4210160103,,39.942001,236,2010,-75.153952,71681,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71681,11/10/10,Bicycle 1,Central,7th st
south,Philadelphia,south st,bainbridge st,0,4210160103,,39.941832,276,2010,-75.152375,71701,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71701,11/10/10,Bicycle 1,Central,6th st
north,Philadelphia,bainbridge st,south st,0,4210160103,,39.944995,478,2010,-75.178633,71721,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71721,10/20/10,Bicycle 1,Central,22nd st
north,Philadelphia,south st,bainbridge st,0,4210160103,,39.943091,243,2010,-75.16342,71626,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71626,11/4/10,Bicycle 1,Central,13th st
west,Philadelphia,43rd st,44th st,3,4210160110,,39.954947,215,2011,-75.209377,73582,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=73582,3/15/11,Bicycle 1,University - Southwest,walnut st
north,Philadelphia,bainbridge st,south st,0,4210160103,,39.942696,278,2010,-75.160266,71632,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71632,11/4/10,Bicycle 1,Central,11th st
south,Philadelphia,south st,bainbridge st,0,4210160103,,39.942511,365,2010,-75.158699,71635,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71635,11/4/10,Bicycle 1,Central,10th st
north,Philadelphia,south st,bainbridge st,0,4210160103,,39.942351,7,2010,-75.157106,71638,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71638,11/10/10,Bicycle 1,Central,9th st
north,Philadelphia,willow st,callowhill st,0,4210160103,,39.95776,145,2011,-75.14407,71780,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71780,3/23/11,Bicycle 1,Central,3rd st
south,Philadelphia,willow st,callowhill st,0,4210160103,,39.957908,101,2011,-75.145626,71783,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71783,3/23/11,Bicycle 1,Central,4th st
north,Philadelphia,willow st,callowhill st,0,4210160103,,39.958052,150,2011,-75.147187,71786,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71786,3/23/11,Bicycle 1,Central,5th st
south,Philadelphia,willow st,callowhill st,0,4210160103,,39.958192,121,2011,-75.14877,71789,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71789,3/23/11,Bicycle 1,Central,6th st
south,Philadelphia,callowhill st,willow st,0,4210160103,,39.958446,61,2011,-75.152058,71795,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71795,3/25/11,Bicycle 1,Central,8th st
north,Philadelphia,spruce st,pine st,0,4210160103,,39.946895,265,2010,-75.171375,71345,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71345,10/21/10,Bicycle 1,Central,18th st
north,Philadelphia,walnut st,spruce st,0,4210160103,,39.948865,339,2010,-75.170968,71346,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71346,9/16/10,Bicycle 1,Central,18th st
south,Philadelphia,bainbridge st,south st,0,4210160103,,39.944855,204,2010,-75.177035,71601,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71601,10/20/10,Bicycle 1,Central,21st st
north,Philadelphia,11th st,10th st,0,4210160103,,39.953635,85,2010,-75.156999,71351,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71351,10/21/10,Bicycle 1,Central,arch st
west,Philadelphia,21st st,22nd st,0,4210160103,,39.95593,62,2010,-75.175409,71352,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71352,9/9/10,Bicycle 1,Central,arch st
north,Philadelphia,willow st,callowhill st,0,4210160103,,39.958677,21,2011,-75.153549,71798,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71798,3/25/11,Bicycle 1,Central,9th st
north,Philadelphia,eakins oval,22nd st,0,4210160103,,39.96204,70,2010,-75.176021,71353,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71353,11/3/10,Bicycle 1,Central,ben franklin pkwy inner la northbound
north,Philadelphia,eakins oval,22nd st,0,4210160103,,39.962312,56,2010,-75.176064,71354,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71354,11/3/10,Bicycle 1,Central,ben franklin pkwy outer la northbound
north,Philadelphia,chestnut st,sansom st,291,4210160103,,39.950477,291,2010,-75.16394,71357,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71357,9/9/10,Bicycle 1,Central,broad st northbound lanes
north,Philadelphia,vine st,race st,611,4210160103,,39.957073,251,2010,-75.162481,71359,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71359,10/7/10,Bicycle 1,Central,broad st northbound lanes
east,Philadelphia,23rd st,schuylkill ave,0,4210160103,,39.952928,401,2010,-75.180613,71362,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71362,10/27/10,Bicycle 1,Central,chestnut st bridge
east,Philadelphia,9th st,10th st,0,4210160103,,39.951407,142,2010,-75.156054,71363,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71363,9/23/10,Bicycle 1,Central,market st eastbound lanes
west,Philadelphia,9th st,10th st,0,4210160103,,39.951472,73,2010,-75.15599,71364,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71364,9/23/10,Bicycle 1,Central,market st westbound lanes
west,Philadelphia,10th st,11th st,0,4210160103,,39.951637,52,2010,-75.157439,71366,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71366,9/30/10,Bicycle 1,Central,market st westbound lanes
east,Philadelphia,23rd st,schuylkill ave,3,4210160103,,39.954421,111,2010,-75.180227,71367,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71367,10/27/10,Bicycle 1,Central,market st bridge eastbound lanes
east,Philadelphia,12th st,13th st,0,4210160103,,39.945205,475,2010,-75.162256,71369,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71369,9/30/10,Bicycle 1,Central,pine st
west,Philadelphia,17th st,18th st,0,4210160103,,39.95079,289,2010,-75.169691,71370,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71370,9/16/10,Bicycle 1,Central,sansom st
east,Philadelphia,pa 291 broad st,15th st,0,4210160103,,39.950954,320,2011,-75.164723,73541,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=73541,3/15/11,Bicycle 1,Central,chestnut st
north,Philadelphia,callowhill st,vine st,611,4210160103,,39.958644,161,2011,-75.162148,73542,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=73542,3/14/11,Bicycle 1,Central,broad st northbound lanes
west,Philadelphia,17th st,18th st,0,4210160103,,39.950041,159,2011,-75.169798,73544,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=73544,1/14/11,Bicycle 1,Central,walnut st
north,Philadelphia,arch st,market st,0,4210160103,,39.951069,161,2011,-75.145476,73545,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=73545,1/14/11,Bicycle 1,Central,3rd st
south,Philadelphia,spruce st,pine st,0,4210160103,,39.946661,216,2011,-75.169809,73550,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=73550,1/14/11,Bicycle 1,Central,17th st
south,Philadelphia,arch st,race st,0,4210160103,,39.95433,201,2011,-75.1561,73551,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=73551,3/18/11,Bicycle 1,Central,10th st
south,Philadelphia,sansom st,chestnut st,0,4210160103,,39.951546,234,2011,-75.171987,73553,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=73553,3/18/11,Bicycle 1,Central,19th st
north,Philadelphia,lombard st,south st,0,4210160103,,39.94402,47,2011,-75.163211,73555,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=73555,1/14/11,Bicycle 1,Central,13th st
east,Philadelphia,23rd st,schuylkill ave,0,4210160103,,39.952928,447,2011,-75.180613,73557,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=73557,3/18/11,Bicycle 1,Central,chestnut st bridge
west,Philadelphia,27th st,I 76 schuylkill expwy ramps,0,4210160103,,39.946114,766,2011,-75.184904,73559,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=73559,11/10/11,Bicycle 1,Central,south st bridge westbound lanes
south,Philadelphia,south st,bainbridge st,0,4210160103,,39.945707,6,2010,-75.18374,71588,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71588,10/13/10,Bicycle 1,Central,taney st
north,Philadelphia,south st,bainbridge st,0,4210160103,,39.945608,8,2010,-75.183215,71591,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71591,10/13/10,Bicycle 1,Central,26th st,
south,Philadelphia,south st,bainbridge st,0,4210160103,,39.945197,94,2010,-75.180822,71594,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71594,10/13/10,Bicycle 1,Central,24th st,
north,Philadelphia,chestnut st,market st,0,4210160103,,39.953249,426,2010,-75.176847,71349,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71349,10/27/10,Bicycle 1,Central,22nd st,
south,Philadelphia,chestnut st,sansom st,291,4210160103,,39.950411,104,2010,-75.164112,71358,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71358,10/21/10,Bicycle 1,Central,broad st southbound lanes,
west,Philadelphia,falls bridge,strawberry mansion bridge,0,4210160106,,40.002109,18,2010,-75.192511,72294,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=72294,12/8/10,Bicycle 1,West Park,martin luther king jr dr westbound lanes,
both,Philadelphia,falls bridge,strawberry mansion bridge,0,4210160106,,40.002413,38,2010,-75.192436,72295,east,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=72295,12/16/10,Bicycle 1,West Park,schuylkill river trail,west
west,Philadelphia,black rd,sweetbriar dr,0,4210160106,,39.97926,13,2011,-75.20247,72303,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=72303,3/29/11,Bicycle 1,West Park,martin luther king jr dr westbound lanes,
west,Philadelphia,sweetbriar dr,us 30 girard ave,0,4210160106,,39.97666,6,2010,-75.195644,72306,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=72306,12/7/10,Bicycle 1,West Park,martin luther king jr dr westbound lanes,
both,Philadelphia,sweetbriar dr,us 30 girard ave,0,4210160106,,39.975681,45,2010,-75.194303,72307,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=72307,12/16/10,Bicycle 1,West Park,schuylkill river trail,
both,Philadelphia,us 30 girard ave,falls bridge,0,4210160107,,39.983812,165,2010,-75.203369,72308,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=72308,12/15/10,Bicycle 1,Lower North,schuylkill river trail (kelly dr side),
south,Philadelphia,noble st,callowhill st,0,4210160103,,39.958669,2,2011,-75.139425,75928,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=75928,3/31/11,Bicycle 1,Central,front st southbound lane,
both,Philadelphia,schuylkill river crossing,phila water works dam,0,4210160106,,39.965157,36,2010,-75.185055,72309,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=72309,12/15/10,Bicycle 1,West Park,schuylkill river trail,
east,Philadelphia,sweetbriar dr,us 30 girard ave,0,4210160106,,39.97666,11,2010,-75.195644,72305,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=72305,12/7/10,Bicycle 1,West Park,martin luther king jr dr eastbound lanes,
both,Philadelphia,strawberry mansion bridge,montgomery dr,0,4210160106,,39.991613,36,2010,-75.199764,72298,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=72298,12/16/10,Bicycle 1,West Park,schuylkill river trail,
south,Philadelphia,walnut st,locust st,0,4210160110,,39.954425,27,2011,-75.210171,76304,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=76304,4/28/11,Bicycle 1,University - Southwest,44th st,
both,Philadelphia,walnut st,locust st,0,4210160110,,39.953981,36,2011,-75.206587,76306,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=76306,4/21/11,Bicycle 1,University - Southwest,42nd st,
both,Philadelphia,42nd st,43rd st,0,4210160110,"Caution: Saturday 4/16 Rainfall of 3.11""",39.952361,214,2011,-75.208122,76307,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=76307,4/13/11,Bicycle 1,University - Southwest,spruce st
west,Philadelphia,40th st,41st st,0,4210160110,"Caution: Saturday 4/16 Rainfall of 3.11""",39.957295,82,2011,-75.202982,76309,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=76309,4/14/11,Bicycle 1,University - Southwest,market st westbound lanes
east,Philadelphia,39th st,40th st,3,4210160110,,39.955494,72,2011,-75.201094,76311,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=76311,4/20/11,Bicycle 1,University - Southwest,chestnut st
west,Philadelphia,34th st,36th st,3,4210160110,"Caution: Saturday 4/16 Rainfall of 3.11""",39.956053,86,2011,-75.192801,76313,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=76313,4/15/11,Bicycle 1,University - Southwest,market st westbound lanes
south,Philadelphia,spruce st,smith walk,0,4210160110,,39.951119,53,2011,-75.192468,76318,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=76318,4/20/11,Bicycle 1,University - Southwest,34th st
both,Philadelphia,47th st,48th st,0,4210160110,,39.953487,35,2011,-75.217187,76320,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=76320,4/21/11,Bicycle 1,University - Southwest,spruce st
both,Philadelphia,walnut st bridge,locust st,0,4210160103,,39.950856,537,2011,-75.181203,76321,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=76321,4/20/11,Bicycle 1,Central,schuylkill river trail
east,Philadelphia,23rd st,schuylkill ave,0,4210160103,,39.952928,340,2011,-75.180613,76322,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=76322,12/6/11,Bicycle 1,Central,chestnut st bridge
north,Philadelphia,montgomery ave,cecil b moore ave,0,4210160107,,39.979866,25,2011,-75.160947,76342,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=76342,4/22/11,Bicycle 1,Lower North,16th st
north,Philadelphia,montgomery ave,cecil b moore ave,0,4210160107,,39.979027,33,2011,-75.155561,76343,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=76343,4/22/11,Bicycle 1,Lower North,13th st
north,Philadelphia,8th st,7th st,0,4210160103,,39.953084,20,2011,-75.152643,76347,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=76347,5/19/11,Bicycle 1,Central,arch st
east,Philadelphia,pa 291 broad st,15th st,0,4210160103,,39.95094,72,2011,-75.1646,76348,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=76348,4/28/11,Bicycle 1,Central,chestnut st
north,Philadelphia,11th st,10th st,0,4210160103,,39.953635,52,2011,-75.156999,76349,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=76349,4/29/11,Bicycle 1,Central,arch st
east,Philadelphia,11th st,12th st,0,4210160103,,39.943099,81,2011,-75.160979,76350,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=76350,5/4/11,Bicycle 1,Central,south st
south,Philadelphia,vine st,race st,611,4210160103,,39.957073,257,2010,-75.162674,71360,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71360,10/7/10,Bicycle 1,Central,broad st southbound lanes
both,Philadelphia,montgomery dr,black rd,0,4210160106,,39.984601,49,2010,-75.205826,72301,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=72301,12/16/10,Bicycle 1,West Park,schuylkill river trail
west,Philadelphia,34th st,houston hall entrance,0,4210160110,,39.950806,96,2011,-75.195129,76424,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=76424,4/22/11,Bicycle 1,University - Southwest,spruce st westbound lane
east,Philadelphia,18th st,19th st,0,4210160103,,39.963257,65,2011,-75.168618,74381,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=74381,4/27/11,Bicycle 1,Central,spring garden st eastbound lanes
north,Philadelphia,pa 3 market st,pa 3 john f kennedy blvd,0,4210160103,,39.954483,65,2011,-75.176584,74501,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=74501,5/19/11,Bicycle 1,Central,22nd st
west,Philadelphia,montgomery dr,black rd,0,4210160106,,39.984626,16,2010,-75.205933,72300,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=72300,12/8/10,Bicycle 1,West Park,martin luther king jr dr westbound lanes
south,Philadelphia,callowhill st,spring garden st,0,4210160103,,39.959108,56,2011,-75.141774,75922,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=75922,3/31/11,Bicycle 1,Central,2nd st
north,Philadelphia,noble st,callowhill st,0,4210160103,,39.95866,1,2011,-75.139387,75927,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=75927,3/31/11,Bicycle 1,Central,front st northbound lane
north,Philadelphia,willow st,callowhill st,0,4210160103,,39.957571,75,2011,-75.138076,75933,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=75933,3/31/11,Bicycle 1,Central,christopher columbus blvd northbound lanes
south,Philadelphia,willow st,callowhill st,0,4210160103,,39.957622,61,2011,-75.138339,75934,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=75934,3/31/11,Bicycle 1,Central,christopher columbus blvd southbound lanes
south,Philadelphia,reserve dr,pattison ave,0,4210160105,,39.90765,14,2011,-75.18322,79124,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=79124,6/24/11,Bicycle 1,Lower South,20th st southbound lanes
north,Philadelphia,21st st,22nd st,0,4210160112,Monday July 4: Independence Day Holiday,39.923075,11,2011,-75.182643,79133,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=79133,6/29/11,Bicycle 1,South,passyunk ave northbound lanes
east,Burlington,cr 663 odd fellows rd,cr 630 pointville rd,616,3400557510,,39.987511,6,2011,-74.675682,80381,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=80381,9/13/11,Bicycle 1,Pemberton Township,pemberton juliustown rd eastbound lanes
east,Philadelphia,memorial hall dr,belmont ave,0,4210160106,,39.979529,5,2011,-75.212091,79210,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=79210,7/14/11,Bicycle 1,West Park,avenue of the republic eastbound lanes
west,Philadelphia,memorial hall dr,belmont ave,0,4210160106,,39.979566,5,2011,-75.212059,79211,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=79211,7/14/11,Bicycle 1,West Park,avenue of the republic westbound lanes
west,Philadelphia,ford rd,belmont mansion dr,0,4210160106,,39.995361,4,2011,-75.209744,79215,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=79215,7/21/11,Bicycle 1,West Park,chamounix dr westbound lanes
east,Philadelphia,41st st,memorial hall dr,0,4210160106,,39.976039,4,2011,-75.208814,79218,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=79218,7/14/11,Bicycle 1,West Park,parkside ave eastbound lanes
west,Philadelphia,41st st,memorial hall dr,0,4210160106,,39.976113,7,2011,-75.208776,79219,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=79219,7/21/11,Bicycle 1,West Park,parkside ave westbound lanes
north,Burlington,dixontown rd,tabernacle rd,541,3400545120,"Monday September 5, 2011 Labor Day Holiday",39.869442,4,2011,-74.810251,80283,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=80283,9/2/11,Bicycle 1,Medford Township,stokes rd northbound lanes
east,Burlington,us 9 new york rd,cr 653 leektown rd,542,3400503370,,39.611573,1,2011,-74.486709,80363,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=80363,9/14/11,Bicycle 1,Bass River Township,hammonton rd eastbound lanes
south,Philadelphia,cardington rd,75th st,0,4210160106,,39.972074,4,2011,-75.260333,79223,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=79223,7/15/11,Bicycle 1,West Park,lansdowne ave southbound lanes
east,Burlington,cr 652 river rd,cr 563 chatsworth harrisville new gretna rd,542,3400577150,,39.615156,4,2011,-74.561892,80361,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=80361,9/14/11,Bicycle 1,Washington Township,batsto bridgeport rd eastbound lanes
west,Burlington,cr 652 river rd,cr 563 chatsworth harrisville new gretna rd,542,3400577150,,39.615198,3,2011,-74.561816,80362,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=80362,9/14/11,Bicycle 1,Washington Township,batsto bridgeport rd westbound lanes
