cntdir,co_name,tolmt,fromlmt,route,mcd,comments,lat,adb,setyear,long,recordnum,indir,report,setdate,type,mun_name,road,outdir
south,Philadelphia,south st,bainbridge st,0,4210160103,,39.941388,312,2010,-75.149226,71764,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71764,11/11/10,Bicycle 1,Central,4th st,
east,Philadelphia,23rd st,schuykill ave,0,4210160110,Most cyclists on wide sidewalk,39.955387,2,2011,-75.179969,71868,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71868,4/28/11,Bicycle 1,University - Southwest,john f kennedy blvd eastbound lanes,
west,Philadelphia,23rd st,schuykill ave,3,4210160110,Most cyclists on wide sidewalk,39.955527,5,2011,-75.179958,71869,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71869,4/28/11,Bicycle 1,University - Southwest,john f kennedy blvd westbound lanes,
south,Philadelphia,castor ave,venango st,0,4210160109,,39.981847,1,2011,-75.085046,78730,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=78730,6/7/11,Bicycle 1,River Wards,delaware ave southbound lane,
south,Philadelphia,53rd st,lindbergh blvd,0,4210160110,,39.933137,1,2011,-75.214478,78726,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=78726,6/9/11,Bicycle 1,University - Southwest,harley ave southbound lane,
north,Philadelphia,castor ave,venango st,0,4210160109,,39.981782,2,2011,-75.084938,78729,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=78729,6/7/11,Bicycle 1,River Wards,delaware ave northbound lane,
east,Philadelphia,bath st,richmond st,0,4210160109,,39.981547,2,2011,-75.100259,78733,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=78733,6/7/11,Bicycle 1,River Wards,allegheny ave eastbound lane,
west,Philadelphia,bath st,richmond st,0,4210160109,,39.981576,4,2011,-75.100195,78734,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=78734,6/7/11,Bicycle 1,River Wards,allegheny ave westbound lane,
north,Philadelphia,callowhill st,noble st,0,4210160103,,39.959365,11,2011,-75.156637,71821,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71821,3/30/11,Bicycle 1,Central,11th st,
north,Philadelphia,cobbs creek parkway,beaumont ave,0,4210160110,Monday July 4: Independence Day Holiday,39.93774,5,2011,-75.233388,79362,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=79362,6/28/11,Bicycle 1,University - Southwest,59th st northbound lane,
south,Philadelphia,cobbs creek parkway,beaumont ave,0,4210160110,Monday July 4: Independence Day Holiday,39.937711,4,2011,-75.233444,79363,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=79363,6/28/11,Bicycle 1,University - Southwest,59th st southbound lane,
east,Montgomery,us 422 overpass,trail to betzwood bridge,0,4209183696,,40.110343,47,2011,-75.420359,78839,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=78839,6/15/11,Bicycle 1,West Norriton Township,schuylkill river trail eastbound,
west,Montgomery,us 422 overpass,trail to betzwood bridge,0,4209183696,,40.110405,63,2011,-75.420359,78840,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=78840,6/15/11,Bicycle 1,West Norriton Township,schuylkill river trail westbound,
both,Camden,glenn dr,park blvd,0,3400710000,,39.932771,22,2014,-75.094539,113249,S,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=113249,11/4/14,Bicycle 2,Camden City,kaighn ave sidepath,N
north,Philadelphia,cherry st,arch st,0,4210160103,,39.95455,72,2010,-75.16641,71294,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71294,9/16/10,Bicycle 1,Central,16th st,
east,Philadelphia,23rd st,schuylkill ave,0,4210160103,,39.95278199,35,2010,-75.17929223,71876,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=71876,10/27/10,Bicycle 1,Central,chestnut st bridge,
north,Montgomery,county line rd connector underpass,railroad underpass,0,4209183696,,40.108398,71,2011,-75.420188,78841,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=78841,6/15/11,Bicycle 1,West Norriton Township,betzwood bridge bikeway northbound,
north,Montgomery,railroad overpass,pa 23 port kennedy rd,0,4209179136,,40.105235,76,2011,-75.420853,78856,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=78856,6/15/11,Bicycle 1,Upper Merion Township,s trooper rd northbound lane,
south,Montgomery,railroad overpass,pa 23 port kennedy rd,0,4209179136,,40.105227,64,2011,-75.420939,78857,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=78857,6/15/11,Bicycle 1,Upper Merion Township,s trooper rd southbound lane,
north,Philadelphia,bigler st,packer ave,0,4210160112,Monday July 4: Independence Day Holiday,39.911925,16,2011,-75.16533,79129,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=79129,6/30/11,Bicycle 1,South,10th st northbound lanes,
south,Philadelphia,bigler st,packer ave,0,4210160112,Monday July 4: Independence Day Holiday,39.911962,8,2011,-75.165426,79130,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=79130,6/30/11,Bicycle 1,South,10th st southbound lanes,
east,Philadelphia,chadwick st,17th st,0,4210160112,Monday July 4: Independence Day Holiday,39.924933,44,2011,-75.174245,79137,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=79137,6/29/11,Bicycle 1,South,snyder ave eastbound lanes,
west,Philadelphia,chadwick st,17th st,0,4210160112,Monday July 4: Independence Day Holiday,39.924984,30,2011,-75.174235,79138,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=79138,6/29/11,Bicycle 1,South,snyder ave westbound lanes,
east,Mercer,hamilton ave,blackwell ave,518,3402133150,,40.389785,76,2015,-74.759954,112543,E,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=112543,4/30/15,Bicycle 2,Hopewell Borough,e broad st eastbound lanes,W
west,Mercer,hamilton ave,blackwell ave,518,3402133150,,40.389824,63,2015,-74.759965,112544,W,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=112544,4/30/15,Bicycle 2,Hopewell Borough,e broad st westbound lanes,E
south,Mercer,cr 535 old trenton rd,cr 602 s post rd,0,3402180240,,40.261276,70,2015,-74.635376,112552,S,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=112552,5/12/15,Bicycle 2,West Windsor Township,paxson ave southbound lanes,N
west,Chester,pa 29 morehall rd,little valley creek bridge,0,4202922056,,40.048405,22,2011,-75.524729,78362,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=78362,5/11/11,Bicycle 1,East Whiteland Township,chester valley trail westbound,
north,Philadelphia,reserve dr,pattison ave,0,4210160105,,39.907642,24,2011,-75.183118,79123,,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=79123,6/24/11,Bicycle 1,Lower South,20th st northbound lanes,
north,Mercer,wallace rd,alexander rd,0,3402180240,,40.31389,19,2015,-74.624068,112547,N,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=112547,5/1/15,Bicycle 2,West Windsor Township,scott ave northbound lanes,S
north,Mercer,dutch neck rd / oak la,summit st,571,3402131620,,40.271151,28,2015,-74.533031,112549,N,http://www.dvrpc.org/asp/bikecount/default.aspx?RECNUM=112549,5/12/15,Bicycle 2,Hightstown Borough,stockton st northbound lanes,S
